BDP_ID,Chromosome,watson_ensembl_id,watson_gene_name,watson_start,watson_end,crick_ensembl_id,crick_gene_name,crick_start,crick_end
Creb3l2_1,chr6,ENSMUSG00000120046,Gm33318,37419130,37419629,ENSMUSG00000038648,Creb3l2,37418570,37419069
Crebl2_1,chr6,ENSMUSG00000032652,Crebl2,134807128,134807627,NA,NA,134806568,134807067
Crebrf_1,chr17,ENSMUSG00000048249,Crebrf,26934663,26935162,NA,NA,26934103,26934602
Crebzf_1,chr7,ENSMUSG00000051451,Crebzf,90092000,90092499,NA,NA,90091440,90091939
Creld1_1,chr6,ENSMUSG00000030284,Creld1,113460517,113461016,ENSMUSG00000121097,Gm57002,113459957,113460456
Crem_2,chr18,ENSMUSG00000097746,Gm6225,3337583,3338082,ENSMUSG00000063889,Crem,3337023,3337522
Crim1_1,chr17,ENSMUSG00000024074,Crim1,78507688,78508187,ENSMUSG00000117648,Gm32282,78507128,78507627
Crip3_1,chr17,ENSMUSG00000023968,Crip3,46739878,46740377,NA,NA,46739318,46739817
Crkl_1,chr16,ENSMUSG00000006134,Crkl,17269898,17270397,NA,NA,17269338,17269837
Crlf2_1,chr5,NA,NA,109706883,109707382,ENSMUSG00000033467,Crlf2,109706323,109706822
Crlf3_1,chr11,NA,NA,79971818,79972317,ENSMUSG00000017561,Crlf3,79971258,79971757
Crls1_1,chr2,ENSMUSG00000027357,Crls1,132688592,132689091,ENSMUSG00000086575,Gm14104,132688032,132688531
Crmp1_1,chr5,ENSMUSG00000029121,Crmp1,37403207,37403706,NA,NA,37402647,37403146
Crtap_1,chr9,NA,NA,114219785,114220284,ENSMUSG00000032431,Crtap,114219225,114219724
Crygn_1,chr5,NA,NA,24962896,24963395,ENSMUSG00000038135,Crygn,24962336,24962835
Cs_1,chr10,ENSMUSG00000005683,Cs,128173682,128174181,ENSMUSG00000120290,Gm56959,128173122,128173621
Csde1_1,chr3,ENSMUSG00000068823,Csde1,102927938,102928437,NA,NA,102927378,102927877
Cse1l_1,chr2,ENSMUSG00000002718,Cse1l,166747987,166748486,NA,NA,166747427,166747926
Csf2ra_1,chr19,NA,NA,61216899,61217398,ENSMUSG00000059326,Csf2ra,61216339,61216838
Csnk1a1_1,chr18,ENSMUSG00000024576,Csnk1a1,61688637,61689136,NA,NA,61688077,61688576
Csnk1g2_1,chr10,ENSMUSG00000003345,Csnk1g2,80458563,80459062,NA,NA,80458003,80458502
Csnk1g3_1,chr18,ENSMUSG00000073563,Csnk1g3,53995219,53995718,NA,NA,53994659,53995158
Csnk2a1_1,chr2,ENSMUSG00000074698,Csnk2a1,152068804,152069303,ENSMUSG00000120026,Gm57421,152068244,152068743
Csrnp1_2,chr9,ENSMUSG00000111639,1700019L13Rik,119813792,119814291,ENSMUSG00000032515,Csrnp1,119813232,119813731
Csrp1_1,chr1,ENSMUSG00000026421,Csrp1,135656972,135657471,NA,NA,135656412,135656911
Csrp2_1,chr10,ENSMUSG00000020186,Csrp2,110756051,110756550,NA,NA,110755491,110755990
Cstb_1,chr10,ENSMUSG00000005054,Cstb,78261586,78262085,NA,NA,78261026,78261525
Cstf3_1,chr2,ENSMUSG00000027176,Cstf3,104420856,104421355,NA,NA,104420296,104420795
Ctbp2_1,chr7,NA,NA,132725146,132725645,ENSMUSG00000030970,Ctbp2,132724586,132725085
Ctc1_1,chr11,ENSMUSG00000020898,Ctc1,68911744,68912243,NA,NA,68911184,68911683
Ctcf_1,chr8,ENSMUSG00000005698,Ctcf,106363164,106363663,ENSMUSG00000098120,Gm5914,106362604,106363103
Ctdp1_1,chr18,ENSMUSG00000118070,Gm50209,80512957,80513456,ENSMUSG00000033323,Ctdp1,80512397,80512896
Ctdsp1_1,chr1,ENSMUSG00000026176,Ctdsp1,74430873,74431372,NA,NA,74430313,74430812
Ctdspl_1,chr9,ENSMUSG00000047409,Ctdspl,118755592,118756091,ENSMUSG00000086119,Gm2415,118755032,118755531
Cth_1,chr3,ENSMUSG00000028177,1810013D15Rik,157630750,157631249,ENSMUSG00000028179,Cth,157630190,157630689
Ctnna1_1,chr18,ENSMUSG00000037815,Ctnna1,35251980,35252479,NA,NA,35251420,35251919
Ctnnb1_1,chr9,ENSMUSG00000006932,Ctnnb1,120762565,120763064,NA,NA,120762005,120762504
Ctps_1,chr4,NA,NA,120427471,120427970,ENSMUSG00000028633,Ctps1,120426911,120427410
Ctr9_1,chr7,ENSMUSG00000005609,Ctr9,110628213,110628712,NA,NA,110627653,110628152
Ctrl_1,chr8,ENSMUSG00000087436,Gm16156,106660529,106661028,ENSMUSG00000031896,Ctrl,106659969,106660468
Ctsd_1,chr7,NA,NA,141941614,141942113,ENSMUSG00000007891,Ctsd,141941054,141941553
Ctsl_1,chr13,NA,NA,64518170,64518669,ENSMUSG00000021477,Ctsl,64517610,64518109
Ctu1_1,chr7,ENSMUSG00000038888,Ctu1,43321461,43321960,NA,NA,43320901,43321400
Cuedc1_1,chr11,ENSMUSG00000018378,Cuedc1,87990064,87990563,NA,NA,87989504,87990003
Cuedc2_1,chr19,NA,NA,46327109,46327608,ENSMUSG00000036748,Cuedc2,46326549,46327048
Cul5_1,chr9,ENSMUSG00000086914,Gm16124,53578836,53579335,ENSMUSG00000032030,Cul5,53578276,53578775
Cul9_2,chr17,NA,NA,46831677,46832176,ENSMUSG00000040327,Cul9,46831117,46831616
Cuta_1,chr17,NA,NA,27158500,27158999,ENSMUSG00000024194,Cuta,27157940,27158439
Cwc22_1,chr2,NA,NA,77776577,77777076,ENSMUSG00000027014,Cwc22,77776017,77776516
Cwc25_1,chr11,NA,NA,97657432,97657931,ENSMUSG00000018541,Cwc25,97656872,97657371
Cxxc5_1,chr18,ENSMUSG00000117841,Gm50371,35962852,35963351,NA,NA,35962292,35962791
Cyb561_1,chr11,ENSMUSG00000103469,Gm9910,105835021,105835520,ENSMUSG00000019590,Cyb561,105834461,105834960
Cyb5r1_1,chr1,ENSMUSG00000026456,Cyb5r1,134333744,134334243,NA,NA,134333184,134333683
Cyb5r3_1,chr15,ENSMUSG00000116508,Gm49463,83056434,83056933,ENSMUSG00000018042,Cyb5r3,83055874,83056373
Cyp20a1_1,chr1,ENSMUSG00000049439,Cyp20a1,60382490,60382989,NA,NA,60381930,60382429
Cyp26a1_1,chr19,ENSMUSG00000024987,Cyp26a1,37686328,37686827,ENSMUSG00000120139,Gm32342,37685768,37686267
Cyp4f17_1,chr17,ENSMUSG00000091586,Cyp4f17,32725469,32725968,NA,NA,32724909,32725408
Cyr61_1,chr3,ENSMUSG00000097183,Gm17501,145355786,145356285,ENSMUSG00000028195,Ccn1,145355226,145355725
D030056L22Rik_1,chr19,ENSMUSG00000047044,D030056L22Rik,18690612,18691111,NA,NA,18690052,18690551
D030068K23Rik_1,chr8,ENSMUSG00000097393,D030068K23Rik,109801855,109802354,NA,NA,109801295,109801794
D130020L05Rik_1,chr12,ENSMUSG00000097121,D130020L05Rik,101048783,101049282,ENSMUSG00000041846,Ppp4r3a,101048223,101048722
D230025D16Rik_1,chr8,ENSMUSG00000031889,Phaf1,105951830,105952329,NA,NA,105951270,105951769
D5Ertd579e_1,chr5,NA,NA,36853331,36853830,ENSMUSG00000029190,D5Ertd579e,36852771,36853270
D630033O11Rik_1,chr9,ENSMUSG00000095385,D630033O11Rik,43176658,43177157,NA,NA,43176098,43176597
Dact3_1,chr7,ENSMUSG00000078794,Dact3,16609246,16609745,ENSMUSG00000097842,9330104G04Rik,16608686,16609185
Dag1_1,chr9,NA,NA,108141167,108141666,ENSMUSG00000039952,Dag1,108140607,108141106
Dalrd3_1,chr9,ENSMUSG00000019039,Dalrd3,108447106,108447605,NA,NA,108446546,108447045
Dars_1,chr1,NA,NA,128345113,128345612,ENSMUSG00000026356,Dars1,128344553,128345052
Dbndd2_1,chr2,ENSMUSG00000090996,Gm20458,164328471,164328970,NA,NA,164327911,164328410
Dbnl_1,chr11,ENSMUSG00000020476,Dbnl,5738528,5739027,ENSMUSG00000121109,Gm57397,5737968,5738467
Dbr1_1,chr9,ENSMUSG00000032469,Dbr1,99457881,99458380,NA,NA,99457321,99457820
Dcaf12_1,chr4,ENSMUSG00000120740,Gm57103,41314871,41315370,ENSMUSG00000028436,Dcaf12,41314311,41314810
Dcaf1_1,chr9,ENSMUSG00000040325,Dcaf1,106699157,106699656,NA,NA,106698597,106699096
Dcaf7_1,chr11,ENSMUSG00000049354,Dcaf7,105927742,105928241,NA,NA,105927182,105927681
Dcaf8_1,chr1,ENSMUSG00000026554,Dcaf8,171975744,171976243,NA,NA,171975184,171975683
Dcdc2b_1,chr4,ENSMUSG00000028797,Tmem234,129508115,129508614,ENSMUSG00000078552,Dcdc2b,129507555,129508054
Dcp1a_1,chr14,ENSMUSG00000021962,Dcp1a,30201624,30202123,ENSMUSG00000015968,Cacna1d,30201064,30201563
Dcps_1,chr9,NA,NA,35087324,35087823,ENSMUSG00000032040,Dcps,35086764,35087263
Dctn4_1,chr18,ENSMUSG00000024603,Dctn4,60659301,60659800,NA,NA,60658741,60659240
Dctpp1_1,chr7,NA,NA,126859855,126860354,ENSMUSG00000042462,Dctpp1,126859295,126859794
Dcun1d5_1,chr9,ENSMUSG00000032002,Dcun1d5,7184560,7185059,ENSMUSG00000047193,Dync2h1,7184000,7184499
Dda1_1,chr8,ENSMUSG00000074247,Dda1,71921857,71922356,NA,NA,71921297,71921796
Ddah1_1,chr3,ENSMUSG00000028194,Ddah1,145464493,145464992,NA,NA,145463933,145464432
Ddb1_1,chr19,ENSMUSG00000024740,Ddb1,10583011,10583510,ENSMUSG00000034371,Tkfc,10582451,10582950
Ddc_3,chr11,NA,NA,11773003,11773502,ENSMUSG00000020182,Ddc,11772443,11772942
Ddias_1,chr7,ENSMUSG00000061119,Prcp,92523481,92523980,ENSMUSG00000030641,Ddias,92522921,92523420
Ddit3_1,chr10,ENSMUSG00000025408,Ddit3,127126677,127127176,ENSMUSG00000092384,Gm4189,127126117,127126616
Ddit4_1,chr10,NA,NA,59787705,59788204,ENSMUSG00000020108,Ddit4,59787145,59787644
Ddrgk1_1,chr2,NA,NA,130506590,130507089,ENSMUSG00000068290,Ddrgk1,130506030,130506529
Ddx19a_1,chr8,NA,NA,111724499,111724998,ENSMUSG00000015023,Ddx19a,111723939,111724438
Ddx19b_1,chr8,NA,NA,111754447,111754946,ENSMUSG00000033658,Ddx19b,111753887,111754386
Ddx1_1,chr12,NA,NA,13299232,13299731,ENSMUSG00000037149,Ddx1,13298672,13299171
Ddx21_1,chr10,ENSMUSG00000112347,Gm47257,62438100,62438599,ENSMUSG00000020075,Ddx21,62437540,62438039
Ddx24_1,chr12,NA,NA,103392156,103392655,ENSMUSG00000041645,Ddx24,103391596,103392095
Ddx28_1,chr8,ENSMUSG00000031901,Dus2,106738115,106738614,ENSMUSG00000045538,Ddx28,106737555,106738054
Ddx39_1,chr8,ENSMUSG00000005481,Ddx39a,84441908,84442407,NA,NA,84441348,84441847
Ddx39b_1,chr17,ENSMUSG00000019432,Ddx39b,35460788,35461287,NA,NA,35460228,35460727
Ddx39b_2,chr17,ENSMUSG00000019432,Ddx39b,35462086,35462585,NA,NA,35461526,35462025
Ddx3x_1,chrX,ENSMUSG00000000787,Ddx3x,13147272,13147771,NA,NA,13146712,13147211
Ddx52_1,chr11,ENSMUSG00000020677,Ddx52,83833002,83833501,NA,NA,83832442,83832941
Ddx56_1,chr11,NA,NA,6217793,6218292,ENSMUSG00000004393,Ddx56,6217233,6217732
Ddx6_1,chr9,ENSMUSG00000032097,Ddx6,44516213,44516712,ENSMUSG00000120036,Gm57017,44515653,44516152
Dennd4c_1,chr4,ENSMUSG00000038024,Dennd4c,86666783,86667282,NA,NA,86666223,86666722
Dennd4c_2,chr4,ENSMUSG00000038024,Dennd4c,86763033,86763532,NA,NA,86762473,86762972
Dennd6b_1,chr15,ENSMUSG00000121082,5730424H11Rik,89080726,89081225,ENSMUSG00000015377,Dennd6b,89080166,89080665
Depdc1a_1,chr3,ENSMUSG00000028175,Depdc1a,159201097,159201596,NA,NA,159200537,159201036
Deptor_1,chr15,ENSMUSG00000022419,Deptor,54975773,54976272,ENSMUSG00000053749,Gm9920,54975213,54975712
Derl3_1,chr10,ENSMUSG00000009092,Derl3,75729258,75729757,ENSMUSG00000120255,Gm56948,75728698,75729197
Desi2_1,chr1,ENSMUSG00000026502,Desi2,178015275,178015774,NA,NA,178014715,178015214
Dffb_1,chr4,ENSMUSG00000039523,Cep104,154059556,154060055,ENSMUSG00000029027,Dffb,154058996,154059495
Dgat1_2,chr15,NA,NA,76387393,76387892,ENSMUSG00000022555,Dgat1,76386833,76387332
Dgcr8_1,chr16,NA,NA,18107140,18107639,ENSMUSG00000022718,Dgcr8,18106580,18107079
Dgkd_1,chr1,ENSMUSG00000070738,Dgkd,87781009,87781508,NA,NA,87780449,87780948
Dgkeos_1,chr11,ENSMUSG00000063109,Dgkeos,88957174,88957673,ENSMUSG00000000276,Dgke,88956614,88957113
Dgkh_1,chr14,NA,NA,78962641,78963140,ENSMUSG00000034731,Dgkh,78962081,78962580
Dguok_1,chr6,NA,NA,83483937,83484436,ENSMUSG00000014554,Dguok,83483377,83483876
Dhcr24_1,chr4,ENSMUSG00000034926,Dhcr24,106418290,106418789,NA,NA,106417730,106418229
Dhdh_1,chr7,ENSMUSG00000023467,Tulp2,45138251,45138750,ENSMUSG00000011382,Dhdh,45137691,45138190
Dhodh_1,chr8,NA,NA,110335348,110335847,ENSMUSG00000031730,Dhodh,110334788,110335287
Dhps_1,chr8,ENSMUSG00000060038,Dhps,85798399,85798898,ENSMUSG00000121028,Gm56867,85797839,85798338
Dhrs13_1,chr11,ENSMUSG00000020834,Dhrs13,77923137,77923636,ENSMUSG00000087050,Dhrs13os,77922577,77923076
Dhrs4_1,chr14,ENSMUSG00000022210,Dhrs4,55716246,55716745,NA,NA,55715686,55716185
Dhrs7_1,chr12,NA,NA,72711626,72712125,ENSMUSG00000021094,Dhrs7,72711066,72711565
Dhx30_2,chr9,ENSMUSG00000032481,Smarcc1,109946503,109947002,ENSMUSG00000032480,Dhx30,109945943,109946442
Dhx33_1,chr11,NA,NA,70895304,70895803,ENSMUSG00000040620,Dhx33,70894744,70895243
Dhx36_1,chr3,NA,NA,62414459,62414958,ENSMUSG00000027770,Dhx36,62413899,62414398
Dhx9_1,chr1,NA,NA,153363447,153363946,ENSMUSG00000042699,Dhx9,153362887,153363386
Dicer1_1,chr12,ENSMUSG00000120051,6230426M11Rik,104718354,104718853,ENSMUSG00000041415,Dicer1,104717794,104718293
Dimt1_1,chr13,ENSMUSG00000021692,Dimt1,107083674,107084173,NA,NA,107083114,107083613
Dirc2_1,chr16,NA,NA,35589788,35590287,ENSMUSG00000022848,Slc49a4,35589228,35589727
Dis3l_1,chr9,NA,NA,64248498,64248997,ENSMUSG00000032396,Dis3l,64247938,64248437
Dkkl1_1,chr7,NA,NA,44861335,44861834,ENSMUSG00000030792,Dkkl1,44860775,44861274
Dleu2_1,chr14,NA,NA,61919827,61920326,ENSMUSG00000097589,Dleu2,61919267,61919766
Dleu2_2,chr14,ENSMUSG00000097997,Gm27017,61886286,61886785,ENSMUSG00000097589,Dleu2,61885726,61886225
Dleu7_1,chr14,ENSMUSG00000021932,Rnaseh2b,62530474,62530973,ENSMUSG00000048281,Dleu7,62529914,62530413
Dlgap4_1,chr2,ENSMUSG00000061689,Dlgap4,156562976,156563475,ENSMUSG00000086638,4930405A21Rik,156562416,156562915
Dlgap5_1,chr14,NA,NA,47655682,47656181,ENSMUSG00000037544,Dlgap5,47655122,47655621
Dlst_1,chr12,ENSMUSG00000004789,Dlst,85157643,85158142,ENSMUSG00000042320,Prox2,85157083,85157582
Dmac2_1,chr7,ENSMUSG00000057229,Dmac2,25318869,25319368,NA,NA,25318309,25318808
Dmap1_1,chr4,NA,NA,117539489,117539988,ENSMUSG00000009640,Dmap1,117538929,117539428
Dmrt1_1,chr19,ENSMUSG00000024837,Dmrt1,25483136,25483635,NA,NA,25482576,25483075
Dmtf1_1,chr5,ENSMUSG00000120248,Gm57257,9211766,9212265,ENSMUSG00000042508,Dmtf1,9211206,9211705
Dmtn_1,chr14,NA,NA,70864548,70865047,ENSMUSG00000022099,Dmtn,70863988,70864487
Dmtn_4,chr14,NA,NA,70873444,70873943,ENSMUSG00000022099,Dmtn,70872884,70873383
Dna2_1,chr10,ENSMUSG00000036875,Dna2,62782827,62783326,NA,NA,62782267,62782766
Dnaaf2_1,chr12,ENSMUSG00000097061,9330151L19Rik,69245202,69245701,ENSMUSG00000020973,Dnaaf2,69244642,69245141
Dnaaf5_1,chr5,ENSMUSG00000025857,Dnaaf5,139136001,139136500,ENSMUSG00000086873,Gm15672,139135441,139135940
Dnaja2_1,chr8,NA,NA,86282040,86282539,ENSMUSG00000031701,Dnaja2,86281480,86281979
Dnaja3_1,chr16,ENSMUSG00000004069,Dnaja3,4501984,4502483,NA,NA,4501424,4501923
Dnajb12_1,chr10,ENSMUSG00000020109,Dnajb12,59715416,59715915,NA,NA,59714856,59715355
Dnajb1_1,chr8,ENSMUSG00000005483,Dnajb1,84334913,84335412,ENSMUSG00000031708,Tecr,84334353,84334852
Dnajc14_1,chr10,ENSMUSG00000025354,Dnajc14,128641513,128642012,NA,NA,128640953,128641452
Dnajc19_1,chr3,NA,NA,34135511,34136010,ENSMUSG00000027679,Dnajc19,34134951,34135450
Dnajc1_2,chr2,NA,NA,18397646,18398145,ENSMUSG00000026740,Dnajc1,18397086,18397585
Dnajc21_1,chr15,NA,NA,10470709,10471208,ENSMUSG00000044224,Dnajc21,10470149,10470648
Dnajc27_1,chr12,ENSMUSG00000020657,Dnajc27,4132637,4133136,NA,NA,4132077,4132576
Dnajc28_1,chr16,ENSMUSG00000085337,Gm15964,91415941,91416440,ENSMUSG00000039763,Dnajc28,91415381,91415880
Dnajc3_1,chr14,ENSMUSG00000022136,Dnajc3,119175399,119175898,ENSMUSG00000119970,Gm56747,119174839,119175338
Dnajc5_1,chr2,ENSMUSG00000000826,Dnajc5,181162355,181162854,NA,NA,181161795,181162294
Dnajc8_1,chr4,ENSMUSG00000054405,Dnajc8,132262888,132263387,NA,NA,132262328,132262827
Dnajc9_1,chr14,NA,NA,20438965,20439464,ENSMUSG00000021811,Dnajc9,20438405,20438904
Dnal4_1,chr15,NA,NA,79658679,79659178,ENSMUSG00000022420,Dnal4,79658119,79658618
Dnase2a_1,chr8,ENSMUSG00000003812,Dnase2a,85635395,85635894,NA,NA,85634835,85635334
Dnd1_1,chr18,NA,NA,36899335,36899834,ENSMUSG00000044595,Dnd1,36898775,36899274
Dnlz_1,chr2,NA,NA,26242152,26242651,ENSMUSG00000075467,Dnlz,26241592,26242091
Dnmt3b_1,chr2,ENSMUSG00000027478,Dnmt3b,153491385,153491884,ENSMUSG00000079000,Dnmt3bos,153490825,153491324
Dnmt3l_1,chr10,ENSMUSG00000000730,Dnmt3l,77885795,77886294,NA,NA,77885235,77885734
Doc2g_1,chr19,ENSMUSG00000024869,Gm49405,4053391,4053890,NA,NA,4052831,4053330
Dock1_1,chr7,ENSMUSG00000058325,Dock1,134272429,134272928,NA,NA,134271869,134272368
Dock7_1,chr4,NA,NA,99009157,99009656,ENSMUSG00000028556,Dock7,99008597,99009096
Dock9_2,chr14,NA,NA,122035152,122035651,ENSMUSG00000025558,Dock9,122034592,122035091
Dohh_1,chr10,ENSMUSG00000078440,Dohh,81220283,81220782,NA,NA,81219723,81220222
Dok2_1,chr14,ENSMUSG00000022102,Dok2,71011814,71012313,NA,NA,71011254,71011753
Dolpp1_1,chr2,ENSMUSG00000026856,Dolpp1,30282439,30282938,NA,NA,30281879,30282378
Dpagt1_1,chr9,ENSMUSG00000032123,Dpagt1,44238156,44238655,NA,NA,44237596,44238095
Dpep3_1,chr8,ENSMUSG00000121297,NA,106706120,106706619,ENSMUSG00000031898,Dpep3,106705560,106706059
Dpf2_1,chr19,ENSMUSG00000110156,Gm42067,5962885,5963384,ENSMUSG00000024826,Dpf2,5962325,5962824
Dpm2_1,chr2,ENSMUSG00000026810,Dpm2,32460901,32461400,NA,NA,32460341,32460840
Dpp7_1,chr2,ENSMUSG00000120059,Gm46732,25246415,25246914,ENSMUSG00000026958,Dpp7,25245855,25246354
Dpp8_1,chr9,ENSMUSG00000032393,Dpp8,64939733,64940232,NA,NA,64939173,64939672
Dpp9_1,chr17,NA,NA,56525886,56526385,ENSMUSG00000001229,Dpp9,56525326,56525825
Dppa4_1,chr16,ENSMUSG00000058550,Dppa4,48104183,48104682,NA,NA,48103623,48104122
Dppa5a_1,chr9,NA,NA,78275486,78275985,ENSMUSG00000060461,Dppa5a,78274926,78275425
Dpy19l1_1,chr9,ENSMUSG00000111365,Gm47772,24414536,24415035,ENSMUSG00000043067,Dpy19l1,24413976,24414475
Dpy19l4_1,chr4,NA,NA,11322176,11322675,ENSMUSG00000045205,Dpy19l4,11321616,11322115
Dpy30_1,chr17,NA,NA,74623465,74623964,ENSMUSG00000024067,Dpy30,74622905,74623404
Dr1_1,chr5,ENSMUSG00000029265,Dr1,108416822,108417321,NA,NA,108416262,108416761
Drg1_1,chr11,NA,NA,3216443,3216942,ENSMUSG00000020457,Drg1,3215883,3216382
Drg2_1,chr11,ENSMUSG00000020537,Drg2,60345456,60345955,NA,NA,60344896,60345395
Dscaml1_1,chr9,ENSMUSG00000032087,Dscaml1,45341662,45342161,ENSMUSG00000097074,4833428L15Rik,45341102,45341601
Dscc1_1,chr15,ENSMUSG00000115657,Gm41325,54953926,54954425,ENSMUSG00000022422,Dscc1,54953366,54953865
Dsn1_1,chr2,NA,NA,156849045,156849544,ENSMUSG00000027635,Dsn1,156848485,156848984
Dstn_1,chr2,ENSMUSG00000015932,Dstn,143757480,143757979,NA,NA,143756920,143757419
Dtx1_1,chr5,NA,NA,120849768,120850267,ENSMUSG00000029603,Dtx1,120849208,120849707
Dtymk_1,chr1,NA,NA,93729669,93730168,ENSMUSG00000026281,Dtymk,93729109,93729608
Dtymk_2,chr1,NA,NA,93727135,93727634,ENSMUSG00000026281,Dtymk,93726575,93727074
Dubr_1,chr16,NA,NA,50553150,50553649,ENSMUSG00000022639,Dubr,50552590,50553089
Dus1l_1,chr11,NA,NA,120687271,120687770,ENSMUSG00000025155,Dus1l,120686711,120687210
Dus3l_1,chr17,ENSMUSG00000007603,Dus3l,57071756,57072255,NA,NA,57071196,57071695
Dusp11_1,chr6,ENSMUSG00000107230,Gm19265,85938696,85939195,ENSMUSG00000030002,Dusp11,85938136,85938635
Dusp12_1,chr1,ENSMUSG00000096968,Gm26620,170713081,170713580,ENSMUSG00000026659,Dusp12,170712521,170713020
Dusp16_1,chr6,NA,NA,134769733,134770232,ENSMUSG00000030203,Dusp16,134769173,134769672
Dusp1_1,chr17,ENSMUSG00000120402,Gm56886,26727496,26727995,ENSMUSG00000024190,Dusp1,26726936,26727435
Dusp27_1,chr1,NA,NA,165955517,165956016,ENSMUSG00000026564,Styxl2,165954957,165955456
Dusp28_1,chr1,ENSMUSG00000047067,Dusp28,92834763,92835262,NA,NA,92834203,92834702
Dusp4_1,chr8,ENSMUSG00000031530,Dusp4,35274779,35275278,ENSMUSG00000120180,Gm56852,35274219,35274718
Dusp6_1,chr10,ENSMUSG00000019960,Dusp6,99099104,99099603,ENSMUSG00000120503,Gm56965,99098544,99099043
Dusp8_1,chr7,ENSMUSG00000109958,Gm32786,141649061,141649560,ENSMUSG00000037887,Dusp8,141648501,141649000
Dvl1_1,chr4,ENSMUSG00000029071,Dvl1,155931925,155932424,NA,NA,155931365,155931864
Dync1h1_1,chr12,ENSMUSG00000018707,Dync1h1,110567916,110568415,ENSMUSG00000113662,Gm35558,110567356,110567855
Dync1li1_1,chr9,ENSMUSG00000032435,Dync1li1,114517869,114518368,NA,NA,114517309,114517808
Dynlrb1_1,chr2,ENSMUSG00000047459,Dynlrb1,155078488,155078987,NA,NA,155077928,155078427
Dynlt1b_1,chr17,ENSMUSG00000096255,Dynlt1b,6697588,6698087,NA,NA,6697028,6697527
Dynlt1c_1,chr17,ENSMUSG00000000579,Dynlt1c,6869186,6869685,NA,NA,6868626,6869125
Dynlt1f_1,chr17,NA,NA,6923278,6923777,ENSMUSG00000095677,Dynlt1f,6922718,6923217
Dyrk1a_1,chr16,ENSMUSG00000022897,Dyrk1a,94371085,94371584,NA,NA,94370525,94371024
Dyrk3_1,chr1,NA,NA,131066041,131066540,ENSMUSG00000016526,Dyrk3,131065481,131065980
Dyx1c1_1,chr9,ENSMUSG00000092192,Dnaaf4,72866137,72866636,NA,NA,72865577,72866076
E030030I06Rik_1,chr10,NA,NA,22025254,22025753,ENSMUSG00000121883,NA,22024694,22025193
E130102H24Rik_1,chr4,ENSMUSG00000087361,0610043K17Rik,101213408,101213907,ENSMUSG00000086782,E130102H24Rik,101212848,101213347
E130102H24Rik_2,chr4,ENSMUSG00000087361,0610043K17Rik,101212547,101213046,ENSMUSG00000086782,E130102H24Rik,101211987,101212486
E130308A19Rik_1,chr4,ENSMUSG00000045071,E130308A19Rik,59626227,59626726,NA,NA,59625667,59626166
E230016K23Rik_1,chr11,ENSMUSG00000051832,E230016K23Rik,83472921,83473420,NA,NA,83472361,83472860
E230016M11Rik_1,chr6,ENSMUSG00000087231,E230016M11Rik,67013642,67014141,ENSMUSG00000036390,Gadd45a,67013082,67013581
E2f3_1,chr13,NA,NA,30170054,30170553,ENSMUSG00000016477,E2f3,30169494,30169993
E2f4_1,chr8,ENSMUSG00000014859,E2f4,106024341,106024840,NA,NA,106023781,106024280
E4f1_1,chr17,NA,NA,24674335,24674834,ENSMUSG00000024137,E4f1,24673775,24674274
Ech1_1,chr7,ENSMUSG00000053898,Ech1,28524785,28525284,NA,NA,28524225,28524724
Echdc1_1,chr10,ENSMUSG00000019883,Echdc1,29189190,29189689,ENSMUSG00000110830,Gm46218,29188630,29189129
Echdc2_1,chr4,ENSMUSG00000028601,Echdc2,108022704,108023203,NA,NA,108022144,108022643
Echdc2_2,chr4,ENSMUSG00000028601,Echdc2,108027349,108027848,NA,NA,108026789,108027288
Ecm1_1,chr3,NA,NA,95646928,95647427,ENSMUSG00000028108,Ecm1,95646368,95646867
Ecm2_1,chr13,ENSMUSG00000043631,Ecm2,49658350,49658849,ENSMUSG00000021391,Cenpp,49657790,49658289
Ecsit_1,chr9,ENSMUSG00000096981,Gm16845,21996764,21997263,ENSMUSG00000066839,Ecsit,21996204,21996703
Edem1_1,chr6,ENSMUSG00000030104,Edem1,108805639,108806138,ENSMUSG00000120580,Gm35417,108805079,108805578
Edem2_1,chr2,NA,NA,155571380,155571879,ENSMUSG00000038312,Edem2,155570820,155571319
Edf1_1,chr2,ENSMUSG00000015092,Edf1,25447926,25448425,NA,NA,25447366,25447865
Edrf1_1,chr7,ENSMUSG00000039990,Edrf1,133239433,133239932,NA,NA,133238873,133239372
Eef1a1_1,chr9,NA,NA,78389003,78389502,ENSMUSG00000037742,Eef1a1,78388443,78388942
Eef1akmt2_1,chr7,NA,NA,132454412,132454911,ENSMUSG00000030960,Eef1akmt2,132453852,132454351
Eef1e1_1,chr13,NA,NA,38843036,38843535,ENSMUSG00000001707,Eef1e1,38842476,38842975
Eef1g_1,chr19,ENSMUSG00000071644,Eef1g,8944570,8945069,NA,NA,8944010,8944509
Eef2_1,chr10,ENSMUSG00000034994,Eef2,81012491,81012990,NA,NA,81011931,81012430
Eef2k_1,chr7,ENSMUSG00000035064,Eef2k,120442095,120442594,NA,NA,120441535,120442034
Eefsec_1,chr6,NA,NA,88423539,88424038,ENSMUSG00000033216,Eefsec,88422979,88423478
Efcab12_1,chr6,ENSMUSG00000107429,Gm44206,115815473,115815972,ENSMUSG00000030321,Efcab12,115814913,115815412
