BDP_ID,Chromosome,watson_start,watson_end,crick_start,crick_end,watson_appris,watson_biotype,watson_biotype_gencode,watson_canonical,watson_description,watson_ensembl_id,watson_gencode_basic,watson_gene_name,watson_gene_name_updated,watson_keyword,watson_length,watson_refseq,watson_rnacentral_id,watson_transcript_id,watson_tsl,watson_uniprot,crick_appris,crick_biotype,crick_biotype_gencode,crick_canonical,crick_description,crick_ensembl_id,crick_gencode_basic,crick_gene_name,crick_gene_name_updated,crick_keyword,crick_length,crick_refseq,crick_rnacentral_id,crick_transcript_id,crick_tsl,crick_uniprot
Dtymk_1,chr1,93729669,93730168,93729109,93729608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,deoxythymidylate kinase [Source:MGI Symbol;Acc:MGI:108396],ENSMUSG00000026281,GENCODE basic,Dtymk,Dtymk,Acetylation; Alternative splicing; ATP-binding; Kinase; Nucleotide biosynthesis; Nucleotide-binding; Reference proteome; Transferase,9359,,,ENSMUST00000027503,tsl1 (assigned to previous version 13),P97930
Dtymk_2,chr1,93727135,93727634,93726575,93727074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,deoxythymidylate kinase [Source:MGI Symbol;Acc:MGI:108396],ENSMUSG00000026281,GENCODE basic,Dtymk,Dtymk,Acetylation; Alternative splicing; ATP-binding; Kinase; Nucleotide biosynthesis; Nucleotide-binding; Reference proteome; Transferase,9359,,,ENSMUST00000027503,tsl1 (assigned to previous version 13),P97930
Dubr_1,chr16,50553150,50553649,50552590,50553089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000022639,NA,Dubr,NA,NA,24385,NA,NA,NA,NA,NA
Dus1l_1,chr11,120687271,120687770,120686711,120687210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,protein_coding,protein_coding,NA,dihydrouridine synthase 1 like [Source:MGI Symbol;Acc:MGI:1915980],ENSMUSG00000025155,GENCODE basic,Dus1l,Dus1l,NA,7203,NR_184654,,ENSMUST00000106135,tsl5 (assigned to previous version 7),
Dus3l_1,chr17,57071756,57072255,57071196,57071695,,protein_coding,retained_intron,NA,dihydrouridine synthase 3 like [Source:MGI Symbol;Acc:MGI:2147092],ENSMUSG00000007603,,Dus3l,Dus3l,NA,5337,,,ENSMUST00000233290,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dusp11_1,chr6,85938696,85939195,85938136,85938635,NA,NA,NA,NA,NA,ENSMUSG00000107230,NA,Gm19265,NA,NA,47733,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) [Source:MGI Symbol;Acc:MGI:1919352],ENSMUSG00000030002,GENCODE basic,Dusp11,Dusp11,Hydrolase; Nucleus; Protein phosphatase; Reference proteome; RNA-binding,19400,,,ENSMUST00000032071,tsl1 (assigned to previous version 12),Q6NXK5
Dusp12_1,chr1,170713081,170713580,170712521,170713020,principal1,protein_coding,protein_coding,1,"predicted gene, 26620 [Source:MGI Symbol;Acc:MGI:5477114]",ENSMUSG00000096968,GENCODE basic,Gm26620,Gm26620,NA,817,,,ENSMUST00000180542,tslNA (assigned to previous version 1),,,protein_coding,nonsense_mediated_decay,NA,dual specificity phosphatase 12 [Source:MGI Symbol;Acc:MGI:1890614],ENSMUSG00000026659,,Dusp12,Dusp12,NA,12043,,,ENSMUST00000170420,tsl1 (assigned to previous version 7),
Dusp16_1,chr6,134769733,134770232,134769173,134769672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,protein_coding,protein_coding,NA,dual specificity phosphatase 16 [Source:MGI Symbol;Acc:MGI:1917936],ENSMUSG00000030203,GENCODE basic,Dusp16,Dusp16,NA,77158,,,ENSMUST00000129433,tsl1 (assigned to previous version 3),
Dusp1_1,chr17,26727496,26727995,26726936,26727435,NA,NA,NA,NA,NA,ENSMUSG00000120402,NA,Gm56886,NA,NA,1458,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,dual specificity phosphatase 1 [Source:MGI Symbol;Acc:MGI:105120],ENSMUSG00000024190,GENCODE basic,Dusp1,Dusp1,Cell cycle; Hydrolase; Nucleus; Phosphoprotein; Protein phosphatase; Reference proteome; Ubl conjugation,56539,,,ENSMUST00000025025,tsl1 (assigned to previous version 6),P28563
Dusp27_1,chr1,165955517,165956016,165954957,165955456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,serine/threonine/tyrosine interacting like 2 [Source:MGI Symbol;Acc:MGI:2685055],ENSMUSG00000026564,GENCODE basic,Styxl2,Styxl2,Cytoplasm; Phosphoprotein; Reference proteome,29775,,,ENSMUST00000192369,tsl1 (assigned to previous version 5),Q148W8
Dusp28_1,chr1,92834763,92835262,92834203,92834702,principal1,protein_coding,protein_coding,1,dual specificity phosphatase 28 [Source:MGI Symbol;Acc:MGI:1914696],ENSMUSG00000047067,GENCODE basic,Dusp28,Dusp28,3D-structure; Hydrolase; Protein phosphatase; Reference proteome,1455,,,ENSMUST00000060913,tsl1 (assigned to previous version 7),Q8BTR5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dusp4_1,chr8,35274779,35275278,35274219,35274718,principal1,protein_coding,protein_coding,1,dual specificity phosphatase 4 [Source:MGI Symbol;Acc:MGI:2442191],ENSMUSG00000031530,GENCODE basic,Dusp4,Dusp4,Acetylation; Hydrolase; Nucleus; Phosphoprotein; Protein phosphatase; Reference proteome,12598,,,ENSMUST00000033930,tsl1 (assigned to previous version 4),Q8BFV3,NA,NA,NA,NA,NA,ENSMUSG00000120180,NA,Gm56852,NA,NA,2198,NA,NA,NA,NA,NA
Dusp6_1,chr10,99099104,99099603,99098544,99099043,principal1,protein_coding,protein_coding,1,dual specificity phosphatase 6 [Source:MGI Symbol;Acc:MGI:1914853],ENSMUSG00000019960,GENCODE basic,Dusp6,Dusp6,Cytoplasm; Hydrolase; Protein phosphatase; Reference proteome,4259,,,ENSMUST00000020118,tsl1 (assigned to previous version 4),Q9DBB1,NA,NA,NA,NA,NA,ENSMUSG00000120503,NA,Gm56965,NA,NA,24957,NA,NA,NA,NA,NA
Dusp8_1,chr7,141649061,141649560,141648501,141649000,NA,NA,NA,NA,NA,ENSMUSG00000109958,NA,Gm32786,NA,NA,42935,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,dual specificity phosphatase 8 [Source:MGI Symbol;Acc:MGI:106626],ENSMUSG00000037887,GENCODE basic,Dusp8,Dusp8,Cytoplasm; Hydrolase; Nucleus; Protein phosphatase; Reference proteome,16354,,,ENSMUST00000039926,tsl1 (assigned to previous version 9),O09112
Dvl1_1,chr4,155931925,155932424,155931365,155931864,principal1,protein_coding,protein_coding,1,dishevelled segment polarity protein 1 [Source:MGI Symbol;Acc:MGI:94941],ENSMUSG00000029071,GENCODE basic,Dvl1,Dvl1,3D-structure; Cell membrane; Cytoplasm; Cytoplasmic vesicle; Developmental protein; Membrane; Phosphoprotein; Reference proteome; Ubl conjugation; Wnt signaling pathway,11902,,,ENSMUST00000030948,tsl1 (assigned to previous version 15),P51141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dync1h1_1,chr12,110567916,110568415,110567356,110567855,principal1,protein_coding,protein_coding,1,dynein cytoplasmic 1 heavy chain 1 [Source:MGI Symbol;Acc:MGI:103147],ENSMUSG00000018707,GENCODE basic,Dync1h1,Dync1h1,3D-structure; Acetylation; ATP-binding; Cell cycle; Cell division; Coiled coil; Cytoplasm; Cytoskeleton; Disease variant; Dynein; Microtubule; Mitosis; Motor protein; Nucleotide-binding; Phosphoprotein; Reference proteome; Repeat; Transport,65494,,,ENSMUST00000018851,tsl1 (assigned to previous version 13),Q9JHU4,NA,NA,NA,NA,NA,ENSMUSG00000113662,NA,Gm35558,NA,NA,2219,NA,NA,NA,NA,NA
Dync1li1_1,chr9,114517869,114518368,114517309,114517808,,protein_coding,retained_intron,NA,dynein cytoplasmic 1 light intermediate chain 1 [Source:MGI Symbol;Acc:MGI:2135610],ENSMUSG00000032435,,Dync1li1,Dync1li1,ATP-binding; Cell cycle; Cell division; Centromere; Chromosome; Cytoplasm; Cytoskeleton; Direct protein sequencing; Dynein; Endosome; Kinetochore; Membrane; Microtubule; Mitosis; Motor protein; Nucleotide-binding; Phosphoprotein; Reference proteome; Transport,35513,,,ENSMUST00000215345,tsl1 (assigned to previous version 1),Q8R1Q8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dynlrb1_1,chr2,155078488,155078987,155077928,155078427,,protein_coding,protein_coding_CDS_not_defined,NA,dynein light chain roadblock-type 1 [Source:MGI Symbol;Acc:MGI:1914318],ENSMUSG00000047459,,Dynlrb1,Dynlrb1,3D-structure; Acetylation; Cytoplasm; Cytoskeleton; Dynein; Microtubule; Motor protein; Reference proteome; Transport,13745,,,ENSMUST00000054912,tsl2 (assigned to previous version 14),P62627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dynlt1b_1,chr17,6697588,6698087,6697028,6697527,principal1,protein_coding,protein_coding,1,dynein light chain Tctex-type 1B [Source:MGI Symbol;Acc:MGI:98643],ENSMUSG00000096255,GENCODE basic,Dynlt1b,Dynlt1b,3D-structure; Acetylation; Cell cycle; Cell division; Cytoplasm; Cytoskeleton; Dynein; Golgi apparatus; Microtubule; Mitosis; Motor protein; Neurogenesis; Phosphoprotein; Reference proteome; Transport,6185,,,ENSMUST00000179569,tsl1 (assigned to previous version 1),P51807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dynlt1c_1,chr17,6869186,6869685,6868626,6869125,principal1,protein_coding,protein_coding,1,dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476],ENSMUSG00000000579,GENCODE basic,Dynlt1c,Dynlt1c,3D-structure; Acetylation; Cell cycle; Cell division; Cytoplasm; Cytoskeleton; Dynein; Golgi apparatus; Microtubule; Mitosis; Motor protein; Neurogenesis; Phosphoprotein; Reference proteome; Transport,8104,,,ENSMUST00000092966,tsl1 (assigned to previous version 4),P51807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dynlt1f_1,chr17,6923278,6923777,6922718,6923217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,protein_coding,retained_intron,NA,dynein light chain Tctex-type 1F [Source:MGI Symbol;Acc:MGI:3780996],ENSMUSG00000095677,,Dynlt1f,Dynlt1f,3D-structure; Acetylation; Cell cycle; Cell division; Cytoplasm; Cytoskeleton; Dynein; Golgi apparatus; Microtubule; Mitosis; Motor protein; Neurogenesis; Phosphoprotein; Reference proteome; Transport,9299,,URS00009B8770,ENSMUST00000232452,,P51807
Dyrk1a_1,chr16,94371085,94371584,94370525,94371024,alternative1,protein_coding,protein_coding,1,dual-specificity tyrosine phosphorylation regulated kinase 1a [Source:MGI Symbol;Acc:MGI:1330299],ENSMUSG00000022897,GENCODE basic,Dyrk1a,Dyrk1a,ATP-binding; Kinase; Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome; Serine/threonine-protein kinase; Transcription; Transcription regulation; Transferase; Tyrosine-protein kinase,125508,,,ENSMUST00000119878,tsl5 (assigned to previous version 7),Q61214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyrk3_1,chr1,131066041,131066540,131065481,131065980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,dual-specificity tyrosine phosphorylation regulated kinase 3 [Source:MGI Symbol;Acc:MGI:1330300],ENSMUSG00000016526,GENCODE basic,Dyrk3,Dyrk3,ATP-binding; Cell cycle; Cell division; Cytoplasm; Cytoskeleton; Kinase; Magnesium; Metal-binding; Mitosis; Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome; Serine/threonine-protein kinase; Transferase; Tyrosine-protein kinase; Ubl conjugation,10886,,,ENSMUST00000016670,tsl1 (assigned to previous version 8),Q922Y0
Dyx1c1_1,chr9,72866137,72866636,72865577,72866076,,protein_coding,protein_coding,NA,dynein axonemal assembly factor 4 [Source:MGI Symbol;Acc:MGI:1914935],ENSMUSG00000092192,GENCODE basic,Dnaaf4,Dnaaf4,NA,14280,,,ENSMUST00000098567,tsl5 (assigned to previous version 8),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E030030I06Rik_1,chr10,22025254,22025753,22024694,22025193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000121883,NA,NA,NA,NA,41532,NA,NA,NA,NA,NA
E130102H24Rik_1,chr4,101213408,101213907,101212848,101213347,NA,NA,NA,NA,NA,ENSMUSG00000087361,NA,0610043K17Rik,NA,NA,46024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000086782,NA,E130102H24Rik,NA,NA,11992,NA,NA,NA,NA,NA
E130102H24Rik_2,chr4,101212547,101213046,101211987,101212486,NA,NA,NA,NA,NA,ENSMUSG00000087361,NA,0610043K17Rik,NA,NA,46024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000086782,NA,E130102H24Rik,NA,NA,11992,NA,NA,NA,NA,NA
E130308A19Rik_1,chr4,59626227,59626726,59625667,59626166,principal1,protein_coding,protein_coding,1,RIKEN cDNA E130308A19 gene [Source:MGI Symbol;Acc:MGI:2442164],ENSMUSG00000045071,GENCODE basic,E130308A19Rik,E130308A19Rik,Alternative splicing; Isopeptide bond; Phosphoprotein; Reference proteome; Ubl conjugation,135229,,,ENSMUST00000070150,tsl1 (assigned to previous version 10),Q8C4P0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E230016K23Rik_1,chr11,83472921,83473420,83472361,83472860,NA,NA,NA,NA,NA,ENSMUSG00000051832,NA,E230016K23Rik,NA,NA,49396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E230016M11Rik_1,chr6,67013642,67014141,67013082,67013581,NA,NA,NA,NA,NA,ENSMUSG00000087231,NA,E230016M11Rik,NA,NA,132267,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,growth arrest and DNA-damage-inducible 45 alpha [Source:MGI Symbol;Acc:MGI:107799],ENSMUSG00000036390,GENCODE basic,Gadd45a,Gadd45a,Cell cycle; DNA damage; Growth arrest; Nucleus; Phosphoprotein; Reference proteome,2362,,,ENSMUST00000043098,tsl1 (assigned to previous version 8),P48316
E2f3_1,chr13,30170054,30170553,30169494,30169993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal4,protein_coding,protein_coding,NA,E2F transcription factor 3 [Source:MGI Symbol;Acc:MGI:1096340],ENSMUSG00000016477,GENCODE basic,E2f3,E2f3,NA,79489,,,ENSMUST00000221536,tsl1 (assigned to previous version 1),
E2f4_1,chr8,106024341,106024840,106023781,106024280,principal1,protein_coding,protein_coding,1,E2F transcription factor 4 [Source:MGI Symbol;Acc:MGI:103012],ENSMUSG00000014859,GENCODE basic,E2f4,E2f4,Acetylation; Activator; Cell cycle; Cilium biogenesis/degradation; DNA-binding; Nucleus; Phosphoprotein; Reference proteome; Transcription; Transcription regulation,7708,,,ENSMUST00000015003,tsl1 (assigned to previous version 9),Q8R0K9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E4f1_1,chr17,24674335,24674834,24673775,24674274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,protein_coding,retained_intron,NA,E4F transcription factor 1 [Source:MGI Symbol;Acc:MGI:109530],ENSMUSG00000024137,,E4f1,E4f1,Alternative splicing; Cell cycle; Cell division; Cytoplasm; DNA-binding; Growth regulation; Metal-binding; Mitosis; Nucleus; Phosphoprotein; Reference proteome; Repeat; Repressor; Transcription; Transcription regulation; Transferase; Ubl conjugation; Ubl conjugation pathway; Zinc; Zinc-finger,26536,NR_188838,,ENSMUST00000227293,,Q8CCE9
Ech1_1,chr7,28524785,28525284,28524225,28524724,,protein_coding,retained_intron,NA,"enoyl coenzyme A hydratase 1, peroxisomal [Source:MGI Symbol;Acc:MGI:1858208]",ENSMUSG00000053898,,Ech1,Ech1,Acetylation; Fatty acid metabolism; Isomerase; Lipid metabolism; Mitochondrion; Peroxisome; Phosphoprotein; Reference proteome; Transit peptide,7031,,,ENSMUST00000154839,tsl2 (assigned to previous version 7),O35459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echdc1_1,chr10,29189190,29189689,29188630,29189129,principal1,protein_coding,protein_coding,1,enoyl Coenzyme A hydratase domain containing 1 [Source:MGI Symbol;Acc:MGI:1277169],ENSMUSG00000019883,GENCODE basic,Echdc1,Echdc1,Acetylation; Alternative splicing; Cytoplasm; Lyase; Reference proteome,34304,,,ENSMUST00000160399,tsl1 (assigned to previous version 7),Q9D9V3,NA,NA,NA,NA,NA,ENSMUSG00000110830,NA,Gm46218,NA,NA,56065,NA,NA,NA,NA,NA
Echdc2_1,chr4,108022704,108023203,108022144,108022643,principal1,protein_coding,protein_coding,1,enoyl Coenzyme A hydratase domain containing 2 [Source:MGI Symbol;Acc:MGI:1289238],ENSMUSG00000028601,GENCODE basic,Echdc2,Echdc2,Acetylation; Alternative splicing; Fatty acid metabolism; Lipid metabolism; Lyase; Mitochondrion; Reference proteome; Transit peptide,13872,,,ENSMUST00000052999,tsl1 (assigned to previous version 12),Q3TLP5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echdc2_2,chr4,108027349,108027848,108026789,108027288,principal1,protein_coding,protein_coding,1,enoyl Coenzyme A hydratase domain containing 2 [Source:MGI Symbol;Acc:MGI:1289238],ENSMUSG00000028601,GENCODE basic,Echdc2,Echdc2,Acetylation; Alternative splicing; Fatty acid metabolism; Lipid metabolism; Lyase; Mitochondrion; Reference proteome; Transit peptide,13872,,,ENSMUST00000052999,tsl1 (assigned to previous version 12),Q3TLP5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecm1_1,chr3,95646928,95647427,95646368,95646867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alternative2,protein_coding,protein_coding,1,extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:103060],ENSMUSG00000028108,GENCODE basic,Ecm1,Ecm1,Alternative splicing; Angiogenesis; Biomineralization; Direct protein sequencing; Extracellular matrix; Glycoprotein; Mineral balance; Osteogenesis; Phosphoprotein; Reference proteome; Repeat; Secreted; Signal,5423,,,ENSMUST00000117507,tsl1 (assigned to previous version 8),Q61508
Ecm2_1,chr13,49658350,49658849,49657790,49658289,principal1,protein_coding,protein_coding,1,"extracellular matrix protein 2, female organ and adipocyte specific [Source:MGI Symbol;Acc:MGI:3039578]",ENSMUSG00000043631,GENCODE basic,Ecm2,Ecm2,Extracellular matrix; Glycoprotein; Leucine-rich repeat; Reference proteome; Repeat; Secreted; Signal,27980,,,ENSMUST00000051504,tsl1 (assigned to previous version 7),Q5FW85,principal1,protein_coding,protein_coding,1,centromere protein P [Source:MGI Symbol;Acc:MGI:1913586],ENSMUSG00000021391,GENCODE basic,Cenpp,Cenpp,Alternative splicing; Centromere; Chromosome; Coiled coil; Nucleus; Phosphoprotein; Reference proteome,188763,,,ENSMUST00000021818,tsl1 (assigned to previous version 8),Q9CZ92
Ecsit_1,chr9,21996764,21997263,21996204,21996703,NA,NA,NA,NA,NA,ENSMUSG00000096981,NA,Gm16845,NA,NA,15127,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,NA,ECSIT signalling integrator [Source:MGI Symbol;Acc:MGI:1349469],ENSMUSG00000066839,GENCODE basic,Ecsit,Ecsit,NA,13193,,,ENSMUST00000179422,tsl1 (assigned to previous version 7),
Edem1_1,chr6,108805639,108806138,108805079,108805578,,protein_coding,nonsense_mediated_decay,NA,"ER degradation enhancer, mannosidase alpha-like 1 [Source:MGI Symbol;Acc:MGI:2180139]",ENSMUSG00000030104,,Edem1,Edem1,NA,30716,,,ENSMUST00000204804,tsl1 (assigned to previous version 2),,NA,NA,NA,NA,NA,ENSMUSG00000120580,NA,Gm35417,NA,NA,26155,NA,NA,NA,NA,NA
Edem2_1,chr2,155571380,155571879,155570820,155571319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,"ER degradation enhancer, mannosidase alpha-like 2 [Source:MGI Symbol;Acc:MGI:1915540]",ENSMUSG00000038312,GENCODE basic,Edem2,Edem2,Endoplasmic reticulum; Glycoprotein; Reference proteome; Signal; Unfolded protein response,27799,,,ENSMUST00000040833,tsl1 (assigned to previous version 4),Q8BJT9
Edf1_1,chr2,25447926,25448425,25447366,25447865,principal1,protein_coding,protein_coding,1,endothelial differentiation-related factor 1 [Source:MGI Symbol;Acc:MGI:1891227],ENSMUSG00000015092,GENCODE basic,Edf1,Edf1,Acetylation; Activator; Calmodulin-binding; Cytoplasm; Developmental protein; Differentiation; DNA-binding; Methylation; Nucleus; Phosphoprotein; Reference proteome; Transcription; Transcription regulation,4236,,,ENSMUST00000015236,tsl1 (assigned to previous version 3),Q9JMG1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edrf1_1,chr7,133239433,133239932,133238873,133239372,principal2,protein_coding,protein_coding,1,erythroid differentiation regulatory factor 1 [Source:MGI Symbol;Acc:MGI:1919831],ENSMUSG00000039990,GENCODE basic,Edrf1,Edrf1,NA,35429,NR_176448,,ENSMUST00000051169,tsl1 (assigned to previous version 12),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eef1a1_1,chr9,78389003,78389502,78388443,78388942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,eukaryotic translation elongation factor 1 alpha 1 [Source:MGI Symbol;Acc:MGI:1096881],ENSMUSG00000037742,GENCODE basic,Eef1a1,Eef1a1,Acetylation; Cell membrane; Cytoplasm; Direct protein sequencing; Elongation factor; GTP-binding; Hydrolase; Isopeptide bond; Membrane; Methylation; Nucleotide-binding; Nucleus; Phosphoprotein; Protein biosynthesis; Reference proteome; Ubl conjugation,10703,,,ENSMUST00000042235,tsl1 (assigned to previous version 14),P10126
Eef1akmt2_1,chr7,132454412,132454911,132453852,132454351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,EEF1A lysine methyltransferase 2 [Source:MGI Symbol;Acc:MGI:1919346],ENSMUSG00000030960,GENCODE basic,Eef1akmt2,Eef1akmt2,Cytoplasm; Methyltransferase; Nucleus; Phosphoprotein; Reference proteome; S-adenosyl-L-methionine; Transferase,25217,,,ENSMUST00000033257,tsl1 (assigned to previous version 14),Q9D853
Eef1e1_1,chr13,38843036,38843535,38842476,38842975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,eukaryotic translation elongation factor 1 epsilon 1 [Source:MGI Symbol;Acc:MGI:1913393],ENSMUSG00000001707,GENCODE basic,Eef1e1,Eef1e1,Acetylation; Coiled coil; Cytoplasm; Nucleus; Protein biosynthesis; Reference proteome,14852,,,ENSMUST00000001757,tsl1 (assigned to previous version 7),Q9D1M4
Eef1g_1,chr19,8944570,8945069,8944010,8944509,principal1,protein_coding,protein_coding,1,eukaryotic translation elongation factor 1 gamma [Source:MGI Symbol;Acc:MGI:1914410],ENSMUSG00000071644,GENCODE basic,Eef1g,Eef1g,Acetylation; Direct protein sequencing; Elongation factor; Isopeptide bond; Protein biosynthesis; Reference proteome; Ubl conjugation,11439,,,ENSMUST00000052248,tsl1 (assigned to previous version 7),Q9D8N0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eef2_1,chr10,81012491,81012990,81011931,81012430,principal1,protein_coding,protein_coding,1,eukaryotic translation elongation factor 2 [Source:MGI Symbol;Acc:MGI:95288],ENSMUSG00000034994,GENCODE basic,Eef2,Eef2,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing; Elongation factor; GTP-binding; Hydrolase; Isopeptide bond; Methylation; Nucleotide-binding; Nucleus; Phosphoprotein; Protein biosynthesis; Reference proteome; Ubl conjugation,5868,,,ENSMUST00000047864,tsl1 (assigned to previous version 10),P58252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eef2k_1,chr7,120442095,120442594,120441535,120442034,principal1,protein_coding,protein_coding,1,eukaryotic elongation factor-2 kinase [Source:MGI Symbol;Acc:MGI:1195261],ENSMUSG00000035064,GENCODE basic,Eef2k,Eef2k,Acetylation; ATP-binding; Calcium; Calmodulin-binding; Kinase; Nucleotide-binding; Phosphoprotein; Reference proteome; Serine/threonine-protein kinase; Transferase,64620,NR_178189,,ENSMUST00000047875,tsl1 (assigned to previous version 15),O08796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eefsec_1,chr6,88423539,88424038,88422979,88423478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,"eukaryotic elongation factor, selenocysteine-tRNA-specific [Source:MGI Symbol;Acc:MGI:2137092]",ENSMUSG00000033216,GENCODE basic,Eefsec,Eefsec,Cytoplasm; GTP-binding; Hydrolase; Magnesium; Metal-binding; Methylation; Nucleotide-binding; Nucleus; Phosphoprotein; Protein biosynthesis; Reference proteome,189206,NR_149744,,ENSMUST00000165242,tsl1 (assigned to previous version 3),Q9JHW4
Efcab12_1,chr6,115815473,115815972,115814913,115815412,NA,NA,NA,NA,NA,ENSMUSG00000107429,NA,Gm44206,NA,NA,23513,NA,NA,NA,NA,NA,,protein_coding,nonsense_mediated_decay,NA,EF-hand calcium binding domain 12 [Source:MGI Symbol;Acc:MGI:2681834],ENSMUSG00000030321,,Efcab12,Efcab12,NA,27517,,,ENSMUST00000124531,tsl2 (assigned to previous version 3),
Efcab2_1,chr1,178233665,178234164,178233105,178233604,,protein_coding,protein_coding_CDS_not_defined,NA,EF-hand calcium binding domain 2 [Source:MGI Symbol;Acc:MGI:1915476],ENSMUSG00000026495,,Efcab2,Efcab2,Cell projection; Cilium; Cytoplasm; Cytoskeleton; Flagellum; Reference proteome; Repeat,78429,,,ENSMUST00000194861,tsl3 (assigned to previous version 1),Q9CQ46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
